SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,NAME_CLIENT_TYPE,NAME_PORTFOLIO,CHANNEL_TYPE,CNT_PAYMENT,NAME_YIELD_GROUP,LOAN_ACTIVITY_SCORE
161140,Cash loans,13832.775,211500.0,246397.5,211500.0,FRIDAY,Approved,815,Cash through the bank,Repeater,Cash,Credit and cash offices,30.0,Middle,2
258628,Cash loans,12165.21,148500.0,174361.5,148500.0,TUESDAY,Approved,860,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,High,2
321676,Consumer loans,7654.86,53779.5,57564.0,53779.5,SUNDAY,Approved,408,Cash through the bank,New,POS,Country-wide,8.0,High,2
270658,Consumer loans,9644.22,26550.0,27252.0,26550.0,SATURDAY,Approved,726,Cash through the bank,New,POS,Stone,3.0,High,2
151612,Consumer loans,21307.455,126490.5,119853.0,126490.5,TUESDAY,Approved,699,Cash through the bank,New,POS,Regional / Local,6.0,High,2
154602,Consumer loans,4187.34,26955.0,27297.0,26955.0,SATURDAY,Approved,1473,Cash through the bank,Repeater,POS,Stone,8.0,High,2
142748,Revolving loans,9000.0,180000.0,180000.0,180000.0,FRIDAY,Approved,336,UNKOWN,Repeater,Cards,AP+ (Cash loan),0.0,Middle,2
396305,Cash loans,10181.7,180000.0,180000.0,180000.0,THURSDAY,Approved,700,Cash through the bank,Repeater,Cash,AP+ (Cash loan),24.0,Low,2
199178,Cash loans,4666.5,45000.0,49455.0,45000.0,SATURDAY,Refused,584,Cash through the bank,Repeater,Cash,AP+ (Cash loan),18.0,High,2
166490,Cash loans,25454.025,450000.0,491580.0,450000.0,MONDAY,Refused,401,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,Low,2
267782,Cash loans,20361.6,405000.0,451777.5,405000.0,SATURDAY,Approved,686,Cash through the bank,Repeater,Cash,Credit and cash offices,30.0,Low,2
302212,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Refused,239,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
302212,Cash loans,39475.305,1129500.0,1277104.5,1129500.0,THURSDAY,Refused,594,Cash through the bank,Repeater,Cash,Credit and cash offices,54.0,Low,2
199353,Cash loans,0.0,0.0,0.0,279000.0,SATURDAY,Canceled,202,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
275707,Cash loans,22619.52,229500.0,241920.0,229500.0,THURSDAY,Approved,370,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Low,2
338725,Cash loans,16708.32,369000.0,369000.0,369000.0,WEDNESDAY,Approved,1487,Cash through the bank,Repeater,Cash,Country-wide,48.0,Middle,2
433469,Cash loans,22242.825,247500.0,268083.0,247500.0,THURSDAY,Approved,1883,Cash through the bank,Repeater,Cash,Country-wide,18.0,High,2
418383,Consumer loans,7656.705,74610.0,65610.0,74610.0,MONDAY,Approved,2702,Cash through the bank,New,POS,Stone,12.0,High,2
315664,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Refused,430,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
170289,Consumer loans,3286.485,32562.0,32562.0,32562.0,FRIDAY,Approved,307,Cash through the bank,Refreshed,POS,Country-wide,12.0,High,2
182450,Consumer loans,9789.255,100485.0,100485.0,100485.0,WEDNESDAY,Approved,391,Cash through the bank,Refreshed,POS,Stone,12.0,High,2
257846,Cash loans,0.0,0.0,0.0,279000.0,MONDAY,Canceled,302,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
393511,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,152,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
255331,Revolving loans,10125.0,202500.0,202500.0,202500.0,SATURDAY,Approved,284,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
208000,Consumer loans,12065.535,56655.0,66411.0,56655.0,SATURDAY,Approved,676,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
178375,Consumer loans,7511.085,32490.0,38380.5,32490.0,MONDAY,Refused,801,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
161591,Consumer loans,39111.075,214380.0,209497.5,214380.0,FRIDAY,Approved,989,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
125157,Consumer loans,9946.485,99319.5,109809.0,99319.5,SATURDAY,Approved,392,Cash through the bank,Repeater,POS,Regional / Local,12.0,High,2
281589,Consumer loans,6752.25,35955.0,33115.5,35955.0,THURSDAY,Approved,983,Cash through the bank,Refreshed,POS,Country-wide,6.0,High,2
258076,Consumer loans,4539.285,18360.0,21834.0,18360.0,WEDNESDAY,Approved,795,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
247572,Consumer loans,3548.835,17950.5,17950.5,17950.5,MONDAY,Unused offer,1141,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
188414,Consumer loans,3560.715,71356.5,76410.0,71356.5,FRIDAY,Approved,2594,Cash through the bank,Repeater,POS,Country-wide,24.0,Middle,2
304455,Consumer loans,15542.73,129505.5,131112.0,129505.5,WEDNESDAY,Approved,406,Cash through the bank,New,POS,Country-wide,10.0,High,2
118974,Consumer loans,6899.49,55831.5,60745.5,55831.5,SUNDAY,Approved,302,Cash through the bank,New,POS,Country-wide,10.0,High,2
281470,Revolving loans,14625.0,292500.0,292500.0,292500.0,FRIDAY,Refused,231,UNKOWN,Repeater,Cards,Country-wide,0.0,Middle,2
447421,Consumer loans,10274.04,126544.5,101232.0,126544.5,SATURDAY,Approved,243,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
235737,Cash loans,75897.63,2025000.0,2241513.0,2025000.0,THURSDAY,Approved,524,Cash through the bank,Repeater,Cash,Credit and cash offices,54.0,Low,2
256517,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,218,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
200721,Revolving loans,11250.0,225000.0,225000.0,225000.0,FRIDAY,Approved,847,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
299391,Revolving loans,0.0,0.0,0.0,135000.0,FRIDAY,Canceled,161,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
163660,Cash loans,9804.285,67500.0,82611.0,67500.0,SATURDAY,Approved,766,Cash through the bank,New,Cash,Credit and cash offices,12.0,High,2
253391,Cash loans,5294.43,45000.0,47970.0,45000.0,SUNDAY,Refused,774,Cash through the bank,Refreshed,Cash,Regional / Local,12.0,High,2
371440,Consumer loans,11688.255,93415.5,101637.0,93415.5,FRIDAY,Approved,598,Cash through the bank,New,POS,Regional / Local,10.0,High,2
197343,Consumer loans,4818.78,106398.0,106398.0,106398.0,SATURDAY,Refused,409,Cash through the bank,Repeater,POS,Country-wide,24.0,Middle,2
383645,Cash loans,47407.5,450000.0,450000.0,450000.0,MONDAY,Approved,557,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Middle,2
290976,Cash loans,49299.435,450000.0,504711.0,450000.0,THURSDAY,Approved,1042,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Low,2
446260,Cash loans,0.0,0.0,0.0,279000.0,THURSDAY,Canceled,209,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
283527,Cash loans,14730.66,72000.0,72000.0,72000.0,WEDNESDAY,Approved,183,Cash through the bank,Repeater,Cash,Contact center,6.0,High,2
431383,Consumer loans,3725.505,26370.0,29983.5,26370.0,SATURDAY,Approved,1773,Cash through the bank,New,POS,Country-wide,12.0,High,2
435636,Cash loans,0.0,0.0,0.0,279000.0,THURSDAY,Canceled,152,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
374768,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,19,Cash through the bank,Refreshed,Cash,Credit and cash offices,36.0,Low,2
221146,Revolving loans,0.0,0.0,0.0,135000.0,MONDAY,Canceled,295,UNKOWN,Refreshed,Cards,Credit and cash offices,0.0,Middle,2
137179,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,237,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
269239,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,207,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
369919,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,419,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
407487,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,181,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
353086,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,388,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
197444,Cash loans,10030.5,360000.0,360000.0,360000.0,THURSDAY,Approved,208,Cash through the bank,Repeater,Cash,Credit and cash offices,60.0,Low,2
348760,Cash loans,0.0,0.0,0.0,279000.0,SUNDAY,Canceled,405,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
372970,Consumer loans,10483.65,104850.0,93838.5,104850.0,SATURDAY,Approved,132,Cash through the bank,Repeater,POS,Stone,10.0,High,2
205177,Cash loans,34423.11,450000.0,491580.0,450000.0,WEDNESDAY,Approved,880,Cash through the bank,Repeater,Cash,AP+ (Cash loan),24.0,High,2
427532,Consumer loans,7795.125,147195.0,172840.5,147195.0,SUNDAY,Approved,1327,Cash through the bank,New,POS,Country-wide,24.0,Middle,2
442603,Consumer loans,2334.42,39996.0,45153.0,39996.0,MONDAY,Approved,1071,Cash through the bank,Repeater,POS,Country-wide,24.0,Middle,2
369423,Consumer loans,2652.705,19611.0,14170.5,19611.0,FRIDAY,Approved,1525,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
282755,Consumer loans,13150.575,249309.0,287482.5,249309.0,FRIDAY,Approved,1268,Cash through the bank,Repeater,POS,Country-wide,24.0,Middle,2
404105,Consumer loans,23343.03,132480.0,125527.5,132480.0,SATURDAY,Approved,33,Cash through the bank,Refreshed,POS,Regional / Local,6.0,High,2
451154,Consumer loans,6087.42,66649.5,59980.5,66649.5,FRIDAY,Approved,600,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
216189,Consumer loans,30041.055,325588.5,293026.5,325588.5,SUNDAY,Approved,514,Cash through the bank,New,POS,Stone,12.0,High,2
430368,Cash loans,58021.695,877500.0,1031193.0,877500.0,THURSDAY,Approved,970,Cash through the bank,Repeater,Cash,Credit and cash offices,30.0,Middle,2
282125,Revolving loans,33750.0,0.0,675000.0,135000.0,FRIDAY,Refused,568,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
454363,Cash loans,40933.575,688500.0,783018.0,688500.0,WEDNESDAY,Refused,456,Cash through the bank,Repeater,Cash,Credit and cash offices,48.0,High,2
342991,Revolving loans,45000.0,900000.0,900000.0,900000.0,TUESDAY,Approved,511,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
244966,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,183,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
240839,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Refused,223,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
306707,Cash loans,10678.005,225000.0,269550.0,225000.0,WEDNESDAY,Refused,13,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
433914,Revolving loans,0.0,0.0,0.0,135000.0,TUESDAY,Canceled,314,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
360684,Consumer loans,11451.735,57600.0,60642.0,57600.0,TUESDAY,Approved,693,Cash through the bank,New,POS,Stone,6.0,High,2
258336,Consumer loans,4699.035,46530.0,46300.5,46530.0,WEDNESDAY,Approved,621,Cash through the bank,Refreshed,POS,Country-wide,12.0,High,2
394386,Consumer loans,3995.505,28750.5,19750.5,28750.5,SUNDAY,Approved,953,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
210583,Cash loans,0.0,0.0,0.0,279000.0,MONDAY,Canceled,201,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
273901,Revolving loans,0.0,0.0,0.0,135000.0,MONDAY,Canceled,395,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
281586,Revolving loans,0.0,0.0,0.0,135000.0,THURSDAY,Canceled,84,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
120854,Revolving loans,33750.0,0.0,675000.0,135000.0,THURSDAY,Approved,879,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
320444,Cash loans,55973.295,1035000.0,1110141.0,1035000.0,FRIDAY,Approved,953,Cash through the bank,Repeater,Cash,Credit and cash offices,30.0,Middle,2
415052,Consumer loans,9675.855,46476.0,48775.5,46476.0,TUESDAY,Approved,1368,Cash through the bank,New,POS,Country-wide,6.0,High,2
133853,Consumer loans,7253.055,104809.5,121410.0,104809.5,SATURDAY,Approved,346,Cash through the bank,Repeater,POS,Country-wide,18.0,Middle,2
191576,Consumer loans,4356.54,23400.0,23400.0,23400.0,SATURDAY,Unused offer,1412,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
307992,Consumer loans,13765.86,113215.5,113215.5,113215.5,SUNDAY,Unused offer,520,Cash through the bank,New,POS,Country-wide,10.0,High,2
203467,Cash loans,46345.32,1012500.0,1115410.5,1012500.0,THURSDAY,Approved,974,Cash through the bank,Repeater,Cash,Credit and cash offices,42.0,Middle,2
444025,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Refused,308,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
127624,Cash loans,49186.8,1170000.0,1170000.0,1170000.0,FRIDAY,Refused,358,Cash through the bank,Repeater,Cash,Credit and cash offices,48.0,Middle,2
223550,Cash loans,0.0,0.0,0.0,279000.0,SATURDAY,Canceled,354,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
119539,Cash loans,19011.6,405000.0,405000.0,405000.0,FRIDAY,Refused,147,Cash through the bank,Repeater,Cash,Credit and cash offices,48.0,Middle,2
141689,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,197,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
422466,Cash loans,43067.475,630000.0,673245.0,630000.0,TUESDAY,Refused,500,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,Middle,2
255798,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,261,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
178345,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,248,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
272179,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,60,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
365261,Cash loans,10855.305,270000.0,328450.5,270000.0,SATURDAY,Refused,208,Cash through the bank,Repeater,Cash,Credit and cash offices,48.0,Low,2
445331,Cash loans,52507.8,886500.0,937989.0,886500.0,TUESDAY,Refused,422,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,Low,2
217812,Cash loans,0.0,0.0,0.0,279000.0,FRIDAY,Canceled,200,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
434442,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,469,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
427367,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,128,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
101529,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Refused,115,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
101529,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,164,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
264510,Revolving loans,0.0,0.0,0.0,135000.0,MONDAY,Refused,238,UNKOWN,Repeater,Cards,Credit and cash offices,0.0,Middle,2
348624,Cash loans,24394.005,468000.0,523597.5,468000.0,THURSDAY,Refused,48,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Middle,2
326635,Cash loans,56548.62,1800000.0,2013840.0,1800000.0,FRIDAY,Refused,581,Cash through the bank,Repeater,Cash,Credit and cash offices,60.0,Low,2
153017,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,88,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
115097,Consumer loans,9874.845,103455.0,54459.0,103455.0,SUNDAY,Approved,220,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
186632,Consumer loans,8418.96,186880.5,186880.5,186880.5,MONDAY,Approved,517,Cash through the bank,Refreshed,POS,Stone,24.0,Middle,2
292407,Consumer loans,10014.345,86989.5,91039.5,86989.5,FRIDAY,Approved,269,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
303722,Cash loans,6311.25,67500.0,67500.0,67500.0,FRIDAY,Approved,197,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Low,2
380561,Consumer loans,9095.31,56340.0,44959.5,56340.0,SATURDAY,Approved,2152,Cash through the bank,Repeater,POS,Stone,6.0,High,2
311178,Cash loans,0.0,0.0,0.0,279000.0,SATURDAY,Refused,273,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
160671,Cash loans,0.0,0.0,0.0,279000.0,TUESDAY,Canceled,345,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
188312,Cash loans,8970.39,90000.0,95940.0,90000.0,SATURDAY,Approved,191,Cash through the bank,Repeater,Cash,Credit and cash offices,12.0,Low,2
293304,Cash loans,0.0,0.0,0.0,279000.0,SATURDAY,Canceled,367,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
268456,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,385,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
367231,Cash loans,0.0,0.0,0.0,279000.0,SUNDAY,Canceled,314,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
276770,Consumer loans,1542.06,22815.0,20533.5,22815.0,FRIDAY,Approved,2254,Cash through the bank,New,POS,Stone,24.0,Middle,2
106086,Consumer loans,6232.725,58050.0,52245.0,58050.0,FRIDAY,Approved,1555,Cash through the bank,Repeater,POS,Stone,10.0,High,2
202386,Cash loans,0.0,0.0,0.0,279000.0,WEDNESDAY,Canceled,26,Cash through the bank,Repeater,Cash,Channel of corporate sales,36.0,Low,2
269861,Consumer loans,6907.32,50661.0,57609.0,50661.0,TUESDAY,Approved,1435,Cash through the bank,New,POS,Country-wide,12.0,High,2
262439,Consumer loans,10971.135,119774.655,119772.0,119774.655,TUESDAY,Approved,1384,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
436731,Consumer loans,3360.555,32985.0,29700.0,32985.0,WEDNESDAY,Approved,778,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
135347,Consumer loans,12037.59,89100.0,97920.0,89100.0,WEDNESDAY,Refused,1661,Cash through the bank,Repeater,POS,Stone,12.0,High,2
205582,Revolving loans,2250.0,45000.0,45000.0,45000.0,MONDAY,Approved,234,UNKOWN,New,Cards,Country-wide,0.0,High,2
346883,Consumer loans,5202.855,37305.0,32805.0,37305.0,MONDAY,Approved,2904,Cash through the bank,New,POS,Stone,8.0,High,2
179380,Consumer loans,4565.025,32895.0,35608.5,32895.0,THURSDAY,Approved,1182,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
406839,Cash loans,12085.965,94500.0,100737.0,94500.0,THURSDAY,Approved,1013,Cash through the bank,New,Cash,Country-wide,12.0,High,2
216158,Consumer loans,8191.485,76275.0,101682.0,76275.0,FRIDAY,Approved,554,Cash through the bank,Repeater,POS,Country-wide,18.0,Middle,2
276237,Revolving loans,22500.0,0.0,450000.0,135000.0,TUESDAY,Approved,510,UNKOWN,Repeater,Cards,Country-wide,0.0,Middle,2
253721,Consumer loans,17278.605,107991.0,97191.0,107991.0,SUNDAY,Approved,838,Cash through the bank,New,POS,Country-wide,6.0,High,2
227908,Revolving loans,2250.0,0.0,45000.0,135000.0,SATURDAY,Refused,672,UNKOWN,Repeater,Cards,Country-wide,0.0,Middle,2
127285,Consumer loans,8586.18,48600.0,48600.0,48600.0,WEDNESDAY,Approved,495,Cash through the bank,New,POS,Country-wide,6.0,High,2
195690,Cash loans,24703.335,337500.0,422496.0,337500.0,MONDAY,Approved,850,Cash through the bank,Repeater,Cash,Credit and cash offices,24.0,Middle,2
131649,Cash loans,0.0,0.0,0.0,279000.0,MONDAY,Canceled,359,Cash through the bank,Repeater,Cash,Credit and cash offices,36.0,Low,2
419090,Consumer loans,7452.945,113733.0,113733.0,113733.0,WEDNESDAY,Approved,819,Cash through the bank,New,POS,Country-wide,18.0,Middle,2
248217,Consumer loans,18553.725,180000.0,194031.0,180000.0,WEDNESDAY,Approved,16,Cash through the bank,Repeater,POS,Stone,12.0,High,2
269324,Consumer loans,5775.615,128205.0,128205.0,128205.0,SUNDAY,Approved,991,Cash through the bank,Repeater,POS,Country-wide,24.0,Middle,2
393157,Consumer loans,7139.7,62860.5,62860.5,62860.5,FRIDAY,Unused offer,518,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
372945,Consumer loans,12607.695,75640.095,68076.0,75640.095,TUESDAY,Refused,2654,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
227148,Consumer loans,4932.045,34676.595,37534.5,34676.595,SATURDAY,Approved,2747,Cash through the bank,New,POS,Country-wide,10.0,High,2
332724,Consumer loans,8712.99,80091.0,88546.5,80091.0,SUNDAY,Approved,1185,Cash through the bank,Repeater,POS,Regional / Local,12.0,High,2
123951,Consumer loans,2802.735,24327.0,24016.5,24327.0,TUESDAY,Approved,2354,Cash through the bank,Repeater,POS,Stone,12.0,High,2
335217,Consumer loans,10216.8,49455.0,52542.0,49455.0,SATURDAY,Approved,671,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
229210,Consumer loans,20050.11,97510.5,97510.5,97510.5,SUNDAY,Refused,103,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
337203,Revolving loans,2250.0,45000.0,45000.0,45000.0,WEDNESDAY,Approved,160,UNKOWN,Repeater,Cards,Regional / Local,0.0,Middle,2
217192,Consumer loans,8530.695,93150.0,93150.0,93150.0,TUESDAY,Approved,772,Cash through the bank,Repeater,POS,Regional / Local,12.0,High,2
342072,Consumer loans,5045.715,42255.0,41494.5,42255.0,SUNDAY,Approved,1646,Cash through the bank,New,POS,Country-wide,12.0,High,2
272520,Consumer loans,11493.99,51210.0,55264.5,51210.0,SATURDAY,Approved,157,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
246553,Consumer loans,2430.99,20205.0,22783.5,20205.0,TUESDAY,Refused,978,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
173254,Consumer loans,3166.74,30082.5,30082.5,30082.5,TUESDAY,Approved,66,Cash through the bank,Repeater,POS,Stone,12.0,High,2
111817,Consumer loans,7646.04,67318.65,67318.65,67318.65,SATURDAY,Approved,301,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
258384,Consumer loans,9147.105,51471.0,47376.0,51471.0,FRIDAY,Refused,389,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
110713,Consumer loans,17769.735,143487.0,175549.5,143487.0,TUESDAY,Approved,1092,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
351953,Consumer loans,23829.84,120577.5,126945.0,120577.5,SATURDAY,Approved,634,Cash through the bank,New,POS,Country-wide,6.0,High,2
262912,Consumer loans,9042.21,92601.0,81882.0,92601.0,WEDNESDAY,Approved,507,Cash through the bank,New,POS,Country-wide,12.0,High,2
107678,Consumer loans,3072.24,24480.0,24480.0,24480.0,SUNDAY,Refused,1252,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
275776,Consumer loans,17509.185,73872.0,65223.0,73872.0,MONDAY,Approved,1018,Cash through the bank,New,POS,Country-wide,4.0,High,2
336630,Cash loans,10061.91,112500.0,127350.0,112500.0,MONDAY,Approved,631,Cash through the bank,Repeater,Cash,AP+ (Cash loan),24.0,High,2
347427,Consumer loans,13333.815,295650.0,295650.0,295650.0,THURSDAY,Approved,1511,Cash through the bank,Refreshed,POS,Stone,24.0,Middle,2
230939,Consumer loans,12792.465,61650.0,64701.0,61650.0,FRIDAY,Approved,1628,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
148833,Consumer loans,3476.16,34200.0,31950.0,34200.0,SUNDAY,Approved,2075,Cash through the bank,Repeater,POS,Country-wide,12.0,High,2
218487,Consumer loans,7300.755,29988.0,35509.5,29988.0,FRIDAY,Approved,1240,Cash through the bank,New,POS,Country-wide,6.0,High,2
418859,Consumer loans,3181.41,22405.5,24624.0,22405.5,FRIDAY,Approved,1068,Cash through the bank,New,POS,Country-wide,12.0,High,2
382118,Consumer loans,5469.3,60610.5,53307.0,60610.5,TUESDAY,Approved,1312,Cash through the bank,New,POS,Country-wide,12.0,High,2
405785,Consumer loans,6686.145,51700.5,50121.0,51700.5,TUESDAY,Approved,2339,Cash through the bank,Repeater,POS,Country-wide,10.0,High,2
405785,Consumer loans,4550.535,28300.5,22617.0,28300.5,FRIDAY,Approved,2042,Cash through the bank,Repeater,POS,Country-wide,6.0,High,2
